PLAYER,TEAM,AGE,TOTAL_FGA,D_FGM00,D_FGA00,D_FGP00,D_FGM05,D_FGA05,D_FGP05,D_FGM10,D_FGA10,D_FGP10,D_FGM15,D_FGA15,D_FGP15,D_FGM20,D_FGA20,D_FGP20,D_FGM25,D_FGA25,D_FGP25,Z_FGM01,Z_FGA01,Z_FGP01,Z_FGM02,Z_FGA02,Z_FGP02,Z_FGM03,Z_FGA03,Z_FGP03,Z_FGM04,Z_FGA04,Z_FGP04,Z_FGM05,Z_FGA05,Z_FGP05,Z_FGM06,Z_FGA06,Z_FGP06,Z_FGM07,Z_FGA07,Z_FGP07
CJ McCollum,POR,29,457,37,69,53.6,17,43,39.5,21,44,47.7,21,43,48.8,39,99,39.4,69,159,43.4,33,61,54.1,34,74,45.9,39,83,47,7,14,50,7,23,30.4,14,37,37.8,85,204,41.7
Clint Capela,ATL,26,488,263,416,63.2,21,61,34.4,3,10,30,1,1,100,0,0,0,0,0,0,249,382,65.2,38,103,36.9,1,3,33.3,0,0,0,0,0,0,0,0,-,0,0,0
Coby White,CHI,21,594,81,164,49.4,13,37,35.1,18,34,52.9,24,59,40.7,51,121,42.1,57,179,31.8,75,150,50,25,68,36.8,46,97,47.4,12,31,38.7,11,23,47.8,23,54,42.6,76,230,33
Cody Zeller,CHA,28,209,95,150,63.3,7,27,25.9,4,7,57.1,2,3,66.7,0,5,0,3,17,17.6,94,146,64.4,12,37,32.4,2,4,50,0,0,0,0,3,0,0,3,0,3,19,15.8
Cole Anthony,ORL,20,269,35,73,47.9,15,57,26.3,15,32,46.9,7,15,46.7,10,37,27,19,55,34.5,34,63,54,20,78,25.6,20,45,44.4,1,5,20,3,7,42.9,4,12,33.3,23,71,32.4
Collin Sexton,CLE,22,784,144,241,59.8,69,149,46.3,69,127,54.3,21,66,31.8,25,60,41.7,49,141,34.8,135,217,62.2,130,261,49.8,44,120,36.7,6,17,35.3,1,2,50,7,19,36.8,62,173,35.8
Cory Joseph,DET,29,301,55,83,66.3,27,51,52.9,8,35,22.9,8,23,34.8,27,62,43.5,12,47,25.5,48,71,67.6,38,79,48.1,17,48,35.4,7,16,43.8,8,21,38.1,15,37,40.5,19,66,28.8
D.J. Augustin,HOU,33,257,24,52,46.2,6,11,54.5,4,18,22.2,6,12,50,20,53,37.7,42,111,37.8,23,50,46,8,21,38.1,10,26,38.5,7,22,31.8,5,14,35.7,12,36,33.3,50,129,38.8
Damian Lillard,POR,30,872,156,268,58.2,14,47,29.8,16,33,48.5,26,54,48.1,44,109,40.4,144,361,39.9,155,254,61,24,70,34.3,54,121,44.6,3,9,33.3,1,12,8.3,4,21,19,192,492,39
Damion Lee,GSW,28,233,19,24,79.2,5,10,50,12,22,54.5,0,2,0,36,77,46.8,34,98,34.7,17,21,81,16,26,61.5,7,18,38.9,9,25,36,16,30,53.3,25,55,45.5,42,116,36.2
Damyean Dotson,CLE,26,216,31,48,64.6,6,12,50,5,13,38.5,9,23,39.1,17,53,32.1,18,67,26.9,30,45,66.7,9,21,42.9,16,40,40,6,15,40,3,12,25,9,27,33.3,23,87,26.4
D'Angelo Russell,MIN,25,340,31,52,59.6,8,18,44.4,12,38,31.6,23,68,33.8,31,56,55.4,40,108,37,27,46,58.7,23,55,41.8,33,89,37.1,5,7,71.4,0,0,0,5,7,71.4,58,147,39.5
Daniel Theis,CHI,29,307,86,115,74.8,11,27,40.7,20,30,66.7,16,31,51.6,17,43,39.5,19,61,31.1,77,103,74.8,32,56,57.1,25,47,53.2,4,13,30.8,4,14,28.6,8,27,29.6,27,75,36
Danilo Gallinari,ATL,32,333,24,41,58.5,7,15,46.7,21,42,50,13,36,36.1,24,64,37.5,55,135,40.7,24,37,64.9,13,29,44.8,33,85,38.8,5,8,62.5,3,15,20,8,23,34.8,68,166,41
Danny Green,PHI,33,401,18,36,50,5,18,27.8,9,15,60,5,11,45.5,67,169,39.6,62,152,40.8,16,28,57.1,11,31,35.5,10,26,38.5,26,64,40.6,39,86,45.3,65,150,43.3,64,167,38.3
Danuel House Jr.,HOU,27,240,43,77,55.8,2,8,25,1,5,20,3,13,23.1,22,67,32.8,27,70,38.6,42,75,56,4,14,28.6,3,16,18.8,10,27,37,10,29,34.5,20,56,35.7,29,82,35.4
Dario Saric,PHX,26,242,58,97,59.8,9,21,42.9,8,14,57.1,1,5,20,16,31,51.6,20,74,27,52,85,61.2,21,41,51.2,4,17,23.5,6,8,75,5,6,83.3,11,14,78.6,24,85,28.2
Darius Bazley,OKC,20,401,84,150,56,6,26,23.1,6,15,40,7,19,36.8,25,90,27.8,29,101,28.7,83,135,61.5,9,46,19.6,12,36,33.3,11,31,35.5,4,21,19,15,52,28.8,39,133,29.3
Darius Garland,CLE,21,590,98,178,55.1,55,128,43,20,62,32.3,16,33,48.5,25,63,39.7,51,126,40.5,91,164,55.5,69,167,41.3,31,77,40.3,9,22,40.9,8,16,50,17,38,44.7,57,147,38.8
David Nwaba,HOU,28,217,81,131,61.8,8,19,42.1,0,5,0,0,0,0,8,38,21.1,9,24,37.5,79,124,63.7,10,30,33.3,0,1,0,0,13,0,6,19,31.6,6,32,18.8,11,31,35.5
Davis Bertans,WAS,28,289,14,21,66.7,1,4,25,0,1,0,1,7,14.3,23,64,35.9,77,192,40.1,11,16,68.8,4,9,44.4,1,10,10,7,19,36.8,9,21,42.9,16,40,40,89,229,38.9
De'Aaron Fox,SAC,23,930,197,303,65,58,125,46.4,63,118,53.4,29,83,34.9,38,104,36.5,61,197,31,188,271,69.4,113,240,47.1,55,147,37.4,6,17,35.3,4,9,44.4,10,26,38.5,80,249,32.1
Deandre Ayton,PHX,22,506,212,299,70.9,54,94,57.4,30,63,47.6,7,28,25,3,9,33.3,3,13,23.1,203,277,73.3,75,136,55.1,27,76,35.5,0,0,0,0,0,0,0,0,-,4,17,23.5
De'Andre Hunter,ATL,23,220,39,59,66.1,14,23,60.9,13,29,44.8,10,16,62.5,22,52,42.3,14,41,34.1,38,57,66.7,23,39,59,20,40,50,5,14,35.7,4,15,26.7,9,29,31,22,57,38.6
DeAndre Jordan,BKN,32,203,152,193,78.8,4,6,66.7,0,1,0,0,0,0,0,2,0,0,1,0,150,188,79.8,6,11,54.5,0,3,0,0,0,0,0,0,0,0,0,-,0,1,0
De'Anthony Melton,MEM,22,272,37,63,58.7,10,29,34.5,14,25,56,5,9,55.6,29,63,46,36,83,43.4,37,58,63.8,22,56,39.3,9,19,47.4,11,20,55,4,11,36.4,15,31,48.4,48,109,44
Dejounte Murray,SAS,24,658,111,184,60.3,37,92,40.2,58,132,43.9,52,115,45.2,17,52,32.7,26,83,31.3,107,170,62.9,66,158,41.8,88,199,44.2,5,17,29.4,5,14,35.7,10,31,32.3,31,102,30.4
Delon Wright,SAC,28,329,95,160,59.4,15,46,32.6,3,13,23.1,3,6,50,12,41,29.3,24,63,38.1,90,143,62.9,21,69,30.4,5,15,33.3,4,12,33.3,2,9,22.2,6,21,28.6,30,82,36.6
DeMar DeRozan,SAS,31,600,104,181,57.5,50,98,51,68,142,47.9,52,105,49.5,13,40,32.5,9,34,26.5,93,160,58.1,90,184,48.9,95,194,49,4,12,33.3,2,10,20,6,22,27.3,12,40,30
DeMarcus Cousins,HOU,30,210,34,81,42,5,9,55.6,1,2,50,0,2,0,13,24,54.2,26,92,28.3,33,75,44,7,16,43.8,0,3,0,2,3,66.7,2,6,33.3,4,9,44.4,35,107,32.7
Deni Avdija,WAS,20,262,48,71,67.6,10,30,33.3,2,6,33.3,3,10,30,14,50,28,34,95,35.8,37,53,69.8,23,52,44.2,6,16,37.5,5,21,23.8,5,18,27.8,10,39,25.6,35,103,34
Dennis Schroder,LAL,27,558,110,213,51.6,22,58,37.9,27,73,37,31,60,51.7,20,59,33.9,31,95,32.6,98,180,54.4,40,116,34.5,56,118,47.5,5,18,27.8,0,7,0,5,25,20,43,120,35.8
