PLAYER,TEAM,AGE,TOTAL_FGA,D_FGM00,D_FGA00,D_FGP00,D_FGM05,D_FGA05,D_FGP05,D_FGM10,D_FGA10,D_FGP10,D_FGM15,D_FGA15,D_FGP15,D_FGM20,D_FGA20,D_FGP20,D_FGM25,D_FGA25,D_FGP25,Z_FGM01,Z_FGA01,Z_FGP01,Z_FGM02,Z_FGA02,Z_FGP02,Z_FGM03,Z_FGA03,Z_FGP03,Z_FGM04,Z_FGA04,Z_FGP04,Z_FGM05,Z_FGA05,Z_FGP05,Z_FGM06,Z_FGA06,Z_FGP06,Z_FGM07,Z_FGA07,Z_FGP07
Shake Milton,PHI,24,469,66,124,53.2,37,79,46.8,34,66,51.5,28,55,50.9,19,44,43.2,31,101,30.7,59,111,53.2,62,127,48.8,49,97,50.5,4,15,26.7,8,10,80,12,25,48,33,112,29.5
Stephen Curry,GSW,33,806,110,181,60.8,38,68,55.9,27,46,58.7,21,47,44.7,46,114,40.4,149,350,42.6,102,162,63,63,114,55.3,46,97,47.4,5,23,21.7,8,18,44.4,13,41,31.7,183,433,42.3
Sterling Brown,HOU,26,315,47,83,56.6,5,14,35.7,2,5,40,1,8,12.5,42,107,39.3,44,98,44.9,43,75,57.3,10,25,40,3,14,21.4,21,56,37.5,13,33,39.4,34,89,38.2,51,112,45.5
Steven Adams,NOP,27,247,131,192,68.2,17,37,45.9,8,18,44.4,0,0,0,0,0,0,0,0,0,127,184,69,28,59,47.5,1,4,25,0,0,0,0,0,0,0,0,-,0,0,0
Svi Mykhailiuk,OKC,23,307,37,61,60.7,4,16,25,4,9,44.4,5,6,83.3,30,77,39,42,138,30.4,37,59,62.7,3,20,15,11,15,73.3,12,29,41.4,7,18,38.9,19,47,40.4,53,168,31.5
T.J. McConnell,IND,29,292,74,128,57.8,50,83,60.2,22,44,50,6,10,60,5,15,33.3,3,12,25,68,118,57.6,62,108,57.4,23,42,54.8,1,2,50,3,8,37.5,4,10,40,3,14,21.4
Talen Horton-Tucker,LAL,20,329,113,193,58.5,5,21,23.8,7,16,43.8,1,10,10,13,44,29.5,9,45,20,107,174,61.5,15,51,29.4,5,21,23.8,0,11,0,4,12,33.3,4,23,17.4,17,62,27.4
Taurean Prince,CLE,27,244,28,64,43.8,7,27,25.9,7,22,31.8,3,10,30,22,56,39.3,25,65,38.5,25,56,44.6,12,41,29.3,11,32,34.4,9,20,45,7,15,46.7,16,35,45.7,29,82,35.4
Terance Mann,LAC,24,237,79,121,65.3,4,20,20,8,26,30.8,3,12,25,18,42,42.9,5,16,31.3,77,110,70,13,46,28.3,5,25,20,5,9,55.6,11,28,39.3,16,37,43.2,6,19,31.6
Terence Davis,SAC,23,259,45,79,57,4,14,28.6,1,3,33.3,2,6,33.3,29,62,46.8,29,95,30.5,41,70,58.6,8,22,36.4,3,11,27.3,11,27,40.7,6,11,54.5,17,38,44.7,41,121,33.9
Terrence Ross,ORL,30,555,29,53,54.7,14,43,32.6,40,74,54.1,46,103,44.7,33,105,31.4,63,177,35.6,26,40,65,36,97,37.1,78,174,44.8,4,15,26.7,4,11,36.4,8,26,30.8,77,219,35.2
Terry Rozier,CHA,27,718,100,172,58.1,25,60,41.7,35,61,57.4,17,37,45.9,74,165,44.8,85,223,38.1,93,159,58.5,54,108,50,38,82,46.3,26,54,48.1,18,41,43.9,44,95,46.3,111,283,39.2
Thaddeus Young,CHI,32,424,177,268,66,58,110,52.7,7,13,53.8,2,9,22.2,4,16,25,2,8,25,165,240,68.8,76,147,51.7,3,13,23.1,4,13,30.8,0,1,0,4,14,28.6,2,10,20
Theo Maledon,OKC,19,373,33,85,38.8,13,32,40.6,14,36,38.9,6,20,30,30,76,39.5,46,124,37.1,32,81,39.5,24,63,38.1,12,33,36.4,7,22,31.8,5,8,62.5,12,30,40,62,169,36.7
Tim Hardaway Jr.,DAL,29,619,83,136,61,13,36,36.1,15,33,45.5,23,52,44.2,51,124,41.1,93,238,39.1,81,123,65.9,21,59,35.6,37,87,42.5,12,26,46.2,17,41,41.5,29,67,43.3,114,293,38.9
Timothe Luwawu-Cabarrot,BKN,25,275,32,67,47.8,4,10,40,1,6,16.7,3,9,33.3,36,105,34.3,25,78,32.1,32,65,49.2,4,14,28.6,4,13,30.8,10,30,33.3,12,36,33.3,22,66,33.3,39,118,33.1
Tobias Harris,PHI,28,691,135,209,64.6,73,142,51.4,44,89,49.4,39,79,49.4,28,58,48.3,44,114,38.6,124,185,67,110,207,53.1,64,138,46.4,4,13,30.8,12,21,57.1,16,34,47.1,49,128,38.3
Tomas Satoransky,CHI,29,214,54,76,71.1,8,26,30.8,8,20,40,9,13,69.2,19,44,43.2,15,35,42.9,49,67,73.1,20,48,41.7,12,24,50,8,13,61.5,8,18,44.4,16,31,51.6,16,44,36.4
Trae Young,ATL,22,768,101,194,52.1,73,155,47.1,43,113,38.1,18,38,47.4,25,54,46.3,75,214,35,92,169,54.4,116,262,44.3,39,90,43.3,4,8,50,2,9,22.2,6,17,35.3,104,290,35.9
Trey Burke,DAL,28,255,28,47,59.6,5,11,45.5,18,31,58.1,13,32,40.6,20,63,31.7,30,71,42.3,26,43,60.5,14,31,45.2,28,57,49.1,7,17,41.2,4,16,25,11,33,33.3,36,93,38.7
Tristan Thompson,BOS,30,220,76,142,53.5,37,67,55.2,5,9,55.6,0,1,0,1,1,100,0,0,0,69,122,56.6,48,93,51.6,2,5,40,0,0,0,0,0,0,0,0,-,0,1,0
Tyler Herro,MIA,21,529,80,129,62,25,57,43.9,9,37,24.3,31,68,45.6,23,59,39,57,179,31.8,74,114,64.9,34,87,39.1,45,109,41.3,3,10,30,5,14,35.7,8,24,33.3,64,196,32.7
Tyrese Haliburton,SAC,21,462,54,80,67.5,36,69,52.2,21,44,47.7,17,34,50,45,105,42.9,54,130,41.5,50,72,69.4,52,101,51.5,29,69,42,18,39,46.2,12,31,38.7,30,70,42.9,67,157,42.7
Tyrese Maxey,PHI,20,281,53,93,57,17,42,40.5,20,33,60.6,15,36,41.7,7,28,25,17,49,34.7,48,84,57.1,32,66,48.5,31,71,43.7,0,6,0,0,2,0,0,8,0,19,58,32.8
Tyus Jones,MEM,24,316,32,63,50.8,26,51,51,41,80,51.3,4,10,40,15,54,27.8,18,58,31,29,54,53.7,57,111,51.4,19,46,41.3,5,20,25,3,11,27.3,8,31,25.8,23,74,31.1
Victor Oladipo,MIA,28,548,96,167,57.5,21,55,38.2,14,35,40,12,50,24,34,79,43,46,162,28.4,92,153,60.1,35,92,38,22,77,28.6,8,20,40,2,16,12.5,10,36,27.8,65,196,33.2
Wayne Ellington,DET,33,281,21,30,70,1,4,25,2,5,40,7,15,46.7,27,74,36.5,68,153,44.4,19,28,67.9,3,6,50,9,24,37.5,8,24,33.3,8,24,33.3,16,48,33.3,79,175,45.1
Wendell Carter Jr.,ORL,21,299,97,157,61.8,26,48,54.2,13,34,38.2,12,29,41.4,3,9,33.3,6,22,27.3,91,139,65.5,38,81,46.9,19,49,38.8,3,5,60,0,0,0,3,5,60,6,25,24
Will Barton,DEN,30,499,86,160,53.8,22,65,33.8,12,27,44.4,13,29,44.8,36,76,47.4,46,142,32.4,81,145,55.9,32,91,35.2,23,55,41.8,11,19,57.9,10,18,55.6,21,37,56.8,58,172,33.7
Zach LaVine,CHI,26,892,216,334,64.7,18,42,42.9,14,37,37.8,36,71,50.7,68,145,46.9,105,263,39.9,210,317,66.2,33,75,44,60,136,44.1,23,37,62.2,9,24,37.5,32,61,52.5,125,311,40.2
Zion Williamson,NOP,20,712,407,620,65.6,26,63,41.3,3,5,60,0,0,0,2,6,33.3,6,18,33.3,394,585,67.4,40,96,41.7,2,8,25,1,1,100,0,0,0,1,1,100,7,22,31.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,perc 10,50.12,,,26.96,,,23.02,,,11.5,,,27.46,,,23.1,,,,,,,,,,,,,,,,,,,,,,,
,,,perc 20,54.42,,,32.6,,,29.52,,,25,,,31.84,,,29.26,,,,,,,,,,,,,,,,,,,,,,,
,,,perc 30,56.76,,,35.64,,,33.8,,,32.68,,,34.28,,,31.8,,,,,,,,,,,,,,,,,,,,,,,
,,,perc 40,58.58,,,39.34,,,38.14,,,35.7,,,36.14,,,34.24,,,,,,,,,,,,,,,,,,,,,,,
,,,perc 50,60.3,,,40.9,,,40.5,,,39.6,,,39.1,,,35.8,,,,,,,,,,,,,,,,,,,,,,,
,,,perc 60,62.8,,,43.72,,,43.86,,,43.02,,,40.46,,,37.3,,,,,,,,,,,,,,,,,,,,,,,
,,,perc 70,65.02,,,46.7,,,47.14,,,46.24,,,42.9,,,38.6,,,,,,,,,,,,,,,,,,,,,,,
,,,perc 80,66.9,,,50.72,,,50,,,48.74,,,44.76,,,40,,,,,,,,,,,,,,,,,,,,,,,
,,,perc 90,70.5,,,54.5,,,55.6,,,52.76,,,49.24,,,42.4,,,,,,,,,,,,,,,,,,,,,,,
