PLAYER,TEAM,AGE,TOTAL FGA,FGM04,FGA04,FGP04,FGM59,FGA59,FGP59,FGM10,FGA10,FGP10,FGM15,FGA15,FGP15,FGM20,FGA20,FGP20,FGM25,FGA25,FGP25
Caleb Martin,CHA,25,157,32,59,54.2,1,6,16.7,0,2,0,3,7,42.9,13,44,29.5,13,39,33.3
Jake Layman,MIN,27,157,57,79,72.2,1,8,12.5,0,2,0,1,2,50,8,36,22.2,11,30,36.7
Nerlens Noel,NYK,26,157,83,122,68,8,17,47.1,2,10,20,2,6,33.3,0,1,0,0,1,0
Gary Harris,ORL,26,156,39,63,61.9,2,6,33.3,1,3,33.3,2,7,28.6,21,51,41.2,4,26,15.4
Jarrett Culver,MIN,22,151,48,87,55.2,3,16,18.8,1,2,50,0,3,0,6,21,28.6,4,22,18.2
Edmond Sumner,IND,25,149,50,78,64.1,5,13,38.5,1,2,50,0,4,0,11,26,42.3,8,26,30.8
Obi Toppin,NYK,23,149,43,65,66.2,4,11,36.4,3,8,37.5,2,4,50,8,30,26.7,12,31,38.7
Justise Winslow,MEM,25,146,21,40,52.5,14,26,53.8,4,18,22.2,3,13,23.1,6,34,17.6,2,15,13.3
Willy Hernangomez,NOP,26,141,64,107,59.8,10,21,47.6,1,5,20,0,0,0,1,3,33.3,0,5,0
Tyler Johnson,BKN,28,140,8,16,50,2,5,40,2,6,33.3,4,10,40,23,52,44.2,17,51,33.3
Tony Snell,ATL,29,139,7,16,43.8,4,9,44.4,7,15,46.7,1,4,25,32,58,55.2,22,37,59.5
Mo Bamba,ORL,22,138,35,51,68.6,4,10,40,2,6,33.3,7,17,41.2,7,16,43.8,10,38,26.3
Ty Jerome,OKC,23,138,11,16,68.8,9,20,45,6,15,40,0,5,0,13,29,44.8,21,53,39.6
Moritz Wagner,BOS,23,135,44,67,65.7,5,15,33.3,0,2,0,0,1,0,5,13,38.5,12,37,32.4
P.J. Tucker,MIL,35,135,18,34,52.9,1,5,20,1,4,25,0,0,0,26,80,32.5,3,12,25
Dennis Smith Jr.,DET,23,132,19,39,48.7,3,7,42.9,6,11,54.5,5,14,35.7,7,21,33.3,13,40,32.5
Kevin Knox II,NYK,21,132,17,31,54.8,0,4,0,0,3,0,2,9,22.2,25,50,50,10,35,28.6
Austin Rivers,NYK,28,131,21,36,58.3,3,13,23.1,5,8,62.5,1,1,100,9,25,36,18,48,37.5
Ish Smith,WAS,32,131,18,40,45,9,22,40.9,5,18,27.8,9,26,34.6,5,14,35.7,4,11,36.4
Jusuf Nurkic,POR,26,131,47,89,52.8,6,16,37.5,2,2,100,2,6,33.3,2,4,50,5,14,35.7
DeAndre' Bembry,TOR,26,130,56,82,68.3,5,13,38.5,1,3,33.3,0,2,0,4,14,28.6,5,16,31.3
Gary Clark,DEN,26,130,8,13,61.5,1,6,16.7,0,1,0,0,3,0,20,56,35.7,11,51,21.6
Dylan Windler,CLE,24,129,24,38,63.2,5,10,50,2,5,40,0,0,0,15,41,36.6,11,35,31.4
Lamar Stevens,CLE,23,128,34,50,68,4,16,25,10,25,40,6,11,54.5,2,10,20,2,16,12.5
Jaxson Hayes,NOP,20,127,73,101,72.3,7,18,38.9,1,4,25,2,2,100,1,2,50,0,0,0
Saben Lee,DET,21,127,41,76,53.9,10,30,33.3,4,9,44.4,0,0,0,6,9,66.7,1,3,33.3
Willie Cauley-Stein,DAL,27,127,70,105,66.7,2,3,66.7,3,6,50,1,3,33.3,2,6,33.3,1,4,25
Brandon Goodwin,ATL,25,125,13,36,36.1,7,13,53.8,7,11,63.6,1,3,33.3,8,20,40,11,42,26.2
Mike Scott,PHI,32,125,9,16,56.3,0,3,0,2,5,40,0,3,0,11,31,35.5,22,67,32.8
Cody Martin,CHA,25,124,38,63,60.3,4,7,57.1,1,6,16.7,3,6,50,9,34,26.5,2,8,25
Max Strus,MIA,25,122,22,23,95.7,0,0,0,0,0,0,0,0,0,13,33,39.4,22,66,33.3
Mychal Mulder,GSW,26,122,8,15,53.3,1,1,100,0,0,0,0,0,0,21,52,40.4,19,54,35.2
